Date,Open,High,Low,Close,Volume,Adj Close
2012-12-27,1.23,1.23,1.22,1.22,683600,1.22
2012-12-26,1.19,1.19,1.19,1.19,000,1.19
2012-12-25,1.19,1.19,1.19,1.19,000,1.19
2012-12-24,1.23,1.23,1.22,1.23,81200,1.23
2012-12-21,1.23,1.23,1.22,1.23,1618100,1.23
2012-12-20,1.23,1.23,1.23,1.23,1483100,1.23
2012-12-19,1.24,1.24,1.23,1.23,657900,1.23
2012-12-18,1.23,1.23,1.23,1.23,655400,1.23
2012-12-17,1.23,1.23,1.23,1.23,345900,1.23
2012-12-14,1.23,1.23,1.23,1.23,734700,1.23
2012-12-13,1.23,1.23,1.23,1.23,369500,1.23
2012-12-12,1.23,1.24,1.23,1.23,732700,1.23
2012-12-11,1.26,1.26,1.26,1.26,382800,1.26
2012-12-10,1.26,1.26,1.26,1.26,761400,1.26
2012-12-07,1.26,1.26,1.26,1.26,618100,1.26
2012-12-06,1.26,1.26,1.26,1.26,358800,1.26
2012-12-05,1.26,1.26,1.26,1.26,933000,1.26
2012-12-04,1.26,1.26,1.26,1.26,641300,1.26
2012-12-03,1.26,1.26,1.26,1.26,690900,1.26
2012-11-30,1.19,1.19,1.19,1.19,000,1.19
2012-11-29,1.26,1.26,1.26,1.26,403600,1.26
2012-11-28,1.26,1.26,1.26,1.26,359600,1.26
2012-11-27,1.26,1.26,1.26,1.26,2484800,1.26
2012-11-26,1.26,1.26,1.26,1.26,596200,1.26
2012-11-23,1.26,1.26,1.26,1.26,487500,1.26
2012-11-22,1.26,1.26,1.26,1.26,376400,1.26
2012-11-21,1.26,1.27,1.26,1.26,800800,1.26
2012-11-20,1.26,1.26,1.26,1.26,305600,1.26
2012-11-19,1.25,1.26,1.25,1.26,1080100,1.26
2012-11-16,1.26,1.26,1.25,1.25,435400,1.25
2012-11-15,1.26,1.26,1.25,1.25,1224600,1.25
2012-11-14,1.26,1.26,1.26,1.26,1367400,1.26
2012-11-13,1.27,1.27,1.26,1.27,1117400,1.27
2012-11-12,1.27,1.27,1.26,1.26,1146200,1.26
2012-11-09,1.27,1.27,1.26,1.26,853300,1.26
2012-11-08,1.27,1.27,1.26,1.26,908400,1.26
2012-11-07,1.26,1.27,1.26,1.26,721200,1.26
2012-11-06,1.27,1.27,1.26,1.27,302200,1.27
2012-11-05,1.27,1.27,1.26,1.27,677800,1.27
2012-11-02,1.27,1.27,1.26,1.26,1757100,1.26
2012-11-01,1.26,1.26,1.26,1.26,2123400,1.26
2012-10-31,1.19,1.19,1.19,1.19,000,1.19
2012-10-30,1.25,1.26,1.25,1.26,634200,1.26
2012-10-29,1.26,1.26,1.25,1.26,358400,1.26
2012-10-26,1.26,1.26,1.25,1.25,1900000,1.25
